age,ubi,exp,usa,ind,edu
15-25,1,2,4,3,2
15-25,1,1,3,3,0
15-25,0,1,3,4,2
15-25,1,3,2,3,2
15-25,1,3,2,3,2
15-25,0,1,4,4,1
15-25,1,1,3,2,0
15-25,1,2,3,2,1
15-25,0,0,2,3,2
15-25,0,3,3,2,0
15-25,1,4,3,2,0
15-25,0,2,3,2,1
15-25,1,2,4,5,0
15-25,1,1,3,3,2
15-25,1,1,2,1,2
15-25,1,3,2,4,0
15-25,1,3,4,5,0
15-25,1,0,2,2,2
15-25,1,3,3,4,2
15-25,1,2,3,2,0
15-25,1,0,3,4,0
15-25,1,3,3,2,0
15-25,1,1,3,3,2
15-25,1,0,3,2,2
15-25,0,0,4,2,0
15-25,1,2,5,5,0
15-25,1,1,3,3,0
15-25,0,7,3,4,0
15-25,1,0,3,4,2
15-25,0,1,3,3,1
15-25,1,3,3,3,0
15-25,1,1,1,3,2
15-25,0,3,3,3,0
15-25,1,2,3,3,2
15-25,1,9,2,3,2
15-25,1,4,3,4,0
